20(0.015724)                               2(0.026670)                               4877(0.046270)                               
20(0.026135)                               1(0.026670)                               4877(0.039271)                               
60(0.020157)                               4848(0.023070)                               67(0.023642)                               
17(0.007482)                               12(0.019351)                               48(0.032500)                               
4903(0.016538)                               4894(0.038833)                               18(0.049208)                               
18(0.015597)                               32(0.038658)                               4903(0.045220)                               
4902(0.038027)                               25(0.042442)                               4882(0.057173)                               
4907(0.011626)                               28(0.040420)                               36(0.048714)                               
4906(0.031481)                               4886(0.050152)                               31(0.056631)                               
16(0.018981)                               4873(0.030322)                               21(0.033948)                               
13(0.014298)                               38(0.036582)                               35(0.045330)                               
17(0.017090)                               4(0.019351)                               48(0.029264)                               
11(0.014298)                               35(0.034480)                               38(0.040883)                               
24(0.033631)                               34(0.044843)                               46(0.047626)                               
57(0.039213)                               161(0.080374)                               142(0.082066)                               
10(0.018981)                               4878(0.030183)                               4873(0.031582)                               
4(0.007482)                               12(0.017090)                               48(0.025021)                               
6(0.015597)                               32(0.023061)                               4903(0.047432)                               
31(0.043413)                               39(0.044593)                               4892(0.070280)                               
1(0.015724)                               2(0.026135)                               4877(0.057440)                               
12(0.033592)                               10(0.033948)                               17(0.050375)                               
42(0.065694)                               45(0.068395)                               62(0.071158)                               
37(0.030966)                               47(0.046988)                               8(0.069797)                               
46(0.031328)                               43(0.032264)                               14(0.033631)                               
7(0.042442)                               55(0.055667)                               52(0.057310)                               
44(0.041681)                               39(0.055687)                               4890(0.070234)                               
17(0.038789)                               4(0.039722)                               4895(0.044471)                               
36(0.009179)                               42(0.038252)                               8(0.040420)                               
20(0.058792)                               1(0.058863)                               68(0.063338)                               
4900(0.007458)                               4889(0.011302)                               40(0.048370)                               
19(0.043413)                               9(0.056631)                               56(0.068731)                               
18(0.023061)                               6(0.038658)                               43(0.047705)                               
50(0.038520)                               4897(0.049515)                               73(0.062317)                               
14(0.044843)                               35(0.050460)                               46(0.055525)                               
13(0.034480)                               38(0.043279)                               11(0.045330)                               
28(0.009179)                               42(0.032110)                               61(0.043392)                               
23(0.030966)                               47(0.066328)                               71(0.069294)                               
45(0.020154)                               11(0.036582)                               13(0.040883)                               
19(0.044593)                               26(0.055687)                               31(0.071771)                               
